sentiment_text,rate
president way massive 🦅 rally circleville ohio absolutely unbelievable — ohio trum,1
people ask president fights hard court ballot integrity ? extensive election_day oper,-1
thank lord high god_bless peacemakers god_bless brave,1
good reviews last_night ’ town_hall miami thank,1
polls numbers looking strong big_crowds great enthusiasm massive red_wave coming,1
breaking boris johnson says get ready split eu ’ single market customs union without new,1
biden_harris raise_taxes fact_check true vp biden said last_week said would repeal trump ta,1
biden lied pennsylvania,-1
somebody mad ’ start wars wants leave ones vote biden_harris,-1
open schools wonder listen science people go science ’ support fearmonger,1
great meeting young cancer survivor reed elliotte yesterday lexington ky,1
beloved president donald man peace prosperity great america whole worl,1
no blood oil long president ✔,-1
thank,1
amen not lot people understand done truly amazin,1
term already brought home thousands brave soldiers wants rest home christmas,1
thank libe arians getting done fast vote trump,1
process long begun happening fast,0
trump supporters far see freedom plaza,1
heading georgia see_soon,0
tonight watch president remarks waukesha wisconsin et rsvp,0
good news means cc,1
president debate didnnot four_years ago ran,0
way see_soon,0
election voter_fraud country,-1
fake_news reached interview agreed let know country ’ opinion stopped,-1
dominion running election rigged,-1
worst polling ever ’ back four_years much voter campaign finance suppression,-1
thank ohio,1
terrible thing biden say rigged_election ?,-1
revealed sworn evidence pervasive voter_fraud rudy_giuliani breaks,-1
strongly stand kelly david great must win,1
hey going denounce ?,-1
antifa scum ran hills today tried attacking people trump rally people aggr,-1
landed wisconsin big_crowd way,0
long said others would announce vaccine election ’ courage likewise announced earlier not political purposes saving lives,1
abc wapo points wisconsin day election iowa polls us points % fox_news quinnipiac wrong everything,-1
abc wapo nbc wsj inaccurate polls really tampering election far polling attempt suppress called election interference,0
pleased_announce joined great group senators fight ridiculous electoral_college certification biden certify numbers proven wrong many cases fraudulent,-1
joe_biden president ’ vaccine another four_years would ever approved quickly bureaucracy would destroyed millions lives,-1
democrats ’ want get vaccine win prior election instead came five days later – ’ said along,1
running governor great_state ohio ? hotly contested,1
another vaccine announced time moderna % effective great historians please remember great discoveries end china plague took_place watch,1
john_bolton one_dumbest people government ’ pleasure work sullen dull,-1
thing would surprised philly ’ cheat big scale election would,-1
imagine guy reading deficit ’ read paragraphs amended complaint guess,-1
would ever hear biden supporters saying ?,1
million maga march happened today nothing burned looted no one shot killed tell us,-1
fake recount going georgia means nothing not allowing signatures looked verified break unconstitutional consent decree,-1
amen,0
georgia get_vote two great senators important,1
see,0
floyd county georgia,0
great show tonight watched way ohio wisconsin,1
vice_president power reject fraudulently chosen electors,-1
office confirms floyd county found ballots audit says sec raffensperger wa,0
rigged_election no republican poll_watchers allowed voting machine glitches place ( meaning got_caught cheating ) voting election ended much,-1
crowd love love trump thank guy crowd really ❤,1
trump family right — need get_vote today defend majority defend america,0
house republicans stop fraud abuse american elections integrity elections must protected,-1
law_enforcement watching involved dishonest,-1
georgia job today stop socialism protect american_dream save,1
no_doubt,1
thank wisconsin,1
thank go vote georgia,1
’ lunchtime voted yet ? ’ — go vote bring people know — call family,0
nolte bret baier deletes tweet exposed backlash against fox_news via,-1
reports coming th congressional district georgia dominion machines not working certain republican strongholds hour ballots left lock boxes hopefully count thank congressman,1
ouch,0
important election history_country vote continue bring_back jobs lower_drug prices support police protect defend borders ensure products proudly stamped phrase made usa,1
voters across usa friends family georgia call text facebook instagram email,1
let roll,0
withdrew,0
joe_biden surrogates lying ukrainian prosecutor seizes property burisma owner clearly,-1
georgia get today vote,0
nothing,0
long president always_stand heroes law_enforcement joe_biden ’,1
washington inundated people ’ want see election victory stolen emboldened radical_left democrats country enough ’ take anymore hear ( love ) oval_office make_america great,1
nolte top pollster finds % say ‘ likely ‘ democrats stole election via rigged_election,-1
wisconsin,0
president trump told us time would getting vaccine end year people laughed pfizer getting fda approval end month right,1
hope democrats even importantly weak_ineffective rino section republican_party looking thousands_people pouring ’ stand landslide election victory stolen,1
lawyers maybe open shut case voter_fraud massive numbers,-1
covid drugs available make people better amazing seldom talked media mortality_rate %,1
voter_fraud detroit rampant many_years,-1
president trump going vaccine end year ronny jackson texas congressman elect,0
antifa terrorist organization stay washington law_enforcement watching closely,-1
making big_progress results sta come next_week make_america great,1
evidence voter_fraud continues grow including dead people pennsylvania voters roll many thousands country artificial number votes favor joe_biden,-1
almost zero ballots rejected georgia election years past close % not possible must signature check envelopes easy dems fighting got_caught far votes needed flip republicans_must get_tough,-1
saw vote tabulations no way biden got votes % rigged_election,-1
metadata biden family ’ pitch materials chinese communist party show doc created jim,1
speaking save_america rally tomorrow ellipse eastern arrive early — doors open eastern big_crowds,1
win,1
happy_thanksgiving,1
joe_biden campaigning conspiracy theorist questioned legitimacy sandy hook shooting shooting,-1
nine weeks democrats afraid real debate election integrity ?,1
watch massive ballot counting abuse like early vaccine remember told,-1
no thanks,-1
yes lost brother sandy hook shooting president met heard st,1
utmost respect thank president leadership federal school safety report,1
ballot counting abuse,-1
people not afraid government government afraid people,0
great book,1
sidney powell lin wood hit georgia page lawsuit,-1
joe_biden put together extensive voter_fraud organization history american politics https,-1
big news pennsylvania,0
rigged_election,-1
total fraud statehouse republicans proud strong honest never_let travesty stand,1
least curious people country right appear credentialed news_media situation normally unique ti,-1
ok post weathered vicissitudes two centuries american_history endure,1
looks_like setting big voter dump against republican_candidates waiting see many votes need ?,-1
highly_respected ken_starr pennsylvania ’ three day extension mail_ballot deadline constitutional travesty legal scholars agree,1
use charts court case election hoax thank justin,1
go much weekend daytime even_worse dead still ’ get fantastic alternatives late great roger_ailes seriously missed still legal votes lot,-1
joe_biden brags extensive inclusive voter_fraud organization history american pol,-1
republicans ’ let andrew_mccabe continue get_away totally criminal activity never_allowed happen country fight justice,-1
happened found another ballots fulton_county go,0
stopping vote count democrat chatham county georgia ? sounds familiar 🤨,-1
murkowski hoped preemptively nuke scotus nomination playing games early process became clea,1
no lockdowns done certain democrat governors,-1
much truth,1
burisma email referenced ' closing cases ' need bring focus back,0
happy_th birthday rines,1
steal making georgia wait,-1
seen claim united_states higher fatality rate covid wealthy nations cl,-1
nate simington smart qualified individual senate hearing today republicans hopefully confirm fcc asap need action important nomination,1
media tried ignore clips hearing,-1
barack_obama killed coal industry elected come oil_gas ch,-1
pennsylvania party leadership votes week hope pick tough_smart fighters win,1
rino mitt_romney read ’ sure however feels got slaughtering obama fair square,1
brilliant woman courage,1
incredible one public appearance joe_biden weekend speech pennsylvania immediately turns,0
wonder water main going burst georgia,0
democrats scrounging votes mystical places,0
joe_biden said ’ get anything done last eight years republican congress,0
nate simington smart qualified individual senate hearing today republicans hopefully confirm fcc asap need action important nomination,1
get smart republicans fight,1
great daytime ratings crash get worse,-1
wow hear west wing — thank ❤ 🦅,1
pennsylvania going trump legislators spoken,0
ballot corruption exposed tonight_pme,-1
dershowitz thinks goes scotus trump win,1
must_read impossible biden overcome even_greater odds,1
donnot build walls hate people outside build walls love people inside,1
true,1
vice_president comes us win presidency many states want decertify mistake made certifying incorrect even fraudulent numbers process not approved state legislatures ( must ) mike send back,-1
thank elizabeth love,1
gave long news_conference today wishing military happy_thanksgiving realized fake_news media coordinates real message conference never gets primary point made election rigged,0
sleepy_eyes chuck_todd happy fake voter tabulation process ’ even get words straight sad watch,-1
romney lost mind since,-1
twitter sending totally false trends absolutely nothing really trending world make negative stuff thing happen twitter happening daytime also big conservative discrimination,-1
joe_biden would put million american jobs chopping block radical energy agenda,-1
thank pensacola_florida together going make_america great,1
states want correct votes know based irregularities fraud plus corrupt process never received legislative approval mike_pence send back states win mike time extreme courage,1
great support election hoax,1
purposes national_security section must_immediately terminated,1
’ care state computer voting system wide open fraud intervention true wait_see ’ coming,1
republican pa impo antly country_needs presidency ever power veto stay strong,1
trump team prove fraud information laid election overturned,-1
president says vaccine distribution start next_week week frontline workers senior,0
happened find ballots late last_night usa embarrassed fools election process worse third_world countries,-1
call mr president respect office holds,1
’ care state ’ computer voting system wide open fraud intervention true wait_see ’ coming,1
fact msm didnnot cover trump legal_team press_conference tells everything need know whet,1
president_delivers message via video conference members military,0
look michigan day election biden receives dump votes,-1
wow twitter bans highly_respected pennsylvania state senator doug mastriano great_job leading hearing election fraud fake_news working_together want silence truth ’ let_happen communist countries,1
big news pennsylvania poll_watcher usb drives uploaded machines gave biden thousands votes says usb drives missing every upload gave biden votes,-1
president trump nominates record number federal_judges,1
many ballots fraudulently cast dems ? people vote election ended ? officials actually not allow observers poll_watchers look honest count ?,1
states want redo votes found voted fraud legislatures never approved let strong,-1
debate poll average % trump % sleepy_joe biden,0
even mexico uses voter,0
andrew_mccabe exposed today senate totally destroyed ignorant fool great people fbi must make_sure former boss james_comey pay price done reputation fbi,-1
giuliani case election fraud made americans via,-1
repo biden ’ thanksgiving day address gets views online record_low observers say candidate votes would get many online viewers numbers ’ lie add,-1
’ lockdown country ’ impose curfews ’ close schools let americans decide celebra,-1
saw vote tabulations no way biden got votes % rigged_election,-1
scoundrels toying ( great_guy ) vote ’ want announce quite yet ’ got many ballots necessary rigged_election,1
’ mike number_one class west_point,1
🤣_🤣 🤣 trump,1
thank megyn,1
thanks dan big win us texas,1
news_conference reduced drug_prices,0
must_read impossible biden overcome even_greater odds,1
yesterday granted duke tanner clemency years prison sentenced life prison fo,-1
president makes look easy cannot overstate historic wins achieved world stage,-1
ric grenell case_against michael_flynn completely overblown,0
mike_pence ’ courage done protect country constitution giving states chance certify corrected set facts not fraudulent inaccurate ones asked previously certify usa demands truth,1
pay big_price subversion,-1
statistical sampling prove widespread voter_fraud multiple accounts fraud voting irregularities may overturn election call paper ballots,-1
economy great ready set new records best ever (_) biden destroy everything massive_tax increases ’ let_happen,1
please support capitol police law_enforcement truly side country stay peaceful,1
brave patriot people stepping forward expose rigged_election,1
live president gives remarks delivering lower prescription_drug prices,-1
got_caught president trump fires perpetrators ' fraud ' applauds rudy_giuliani efforts ht,-1
help_us win big michigan ✅ sign youth deployment ✅ gotv ✅ save_america,1
entering oct ✅ obama ‘ ✅ hillary ‘ ✅ trump ‘ trump ra,0
fake_news talking cases cases cases includes many low risk people media everything_possible create fear prior november_rd cases testing way far best world mortality_rate % plus,-1
’ fast certify meaningless tally ?,-1
donald_trump pro jewish president,0
joe_biden say good relationship hitler one point ? no not joe,1
stahl ignorance spying shocking,-1
video biden saying would eliminate fracking,0
corrupt biden family,0
governor_georgia secretary_state refuse let_us look signatures would expose hundreds_thousands illegal ballots give republican_party david perdue perhaps kelly loeffler big victory,-1
not sound_like typical washington politician ’ ’ not politician not always play rules washington establishment ’ elected fight harder anyone ever,-1
could not sit watch take_advantage anymore coming standing way standing guard country love,1
years watched one betrayal another politicians like joe_biden sold american_workers every turn — shattering lives millions american families families raked millions_dollars,-1
joe_biden corrupt_politician ’ compromised china desperate biden win biden_wins china wins – china america corruption exactly decided run_president first_place,1
newsom ' bumbling biden ' top biggest turkeys week ? 🦃 newsmax tv grant stinchfield,1
thank great american_patriots villages florida,1
asking everyone capitol remain peaceful no violence remember party law_order – respect law great men_women blue thank,1
th_anniversary horrendous attack united_states marines sailors soldiers beirut honor heroes lost lives day never_forget semper fi,1
philadelphia watching fraud happen ’ went shut poll_watchers observers hundreds_thousands votes not_allowed corrupt politics,-1
joe_biden ’ response h_n swine_flu far_less lethal covid one weakest worst history fighting epidemics pandemics pathetic involved said joe ’_clue,-1
statistical case_against biden win part turnout,1
georgia recount joke done protest even_though thousands fraudulent votes found real number matching signatures governor must open unconstitutional consent decree call legislature,-1
’ even allow republican observers building watch terrible insult constitution,-1
attorney digenova says fraud deception pa election ‘ truly staggering ’,-1
new_book separates fact fiction covid epidemic covid politics fear power science,-1
things events happen sacred landslide election victory unceremoniously viciously stripped away great patriots badly unfairly treated long go_home love peace remember day forever,1
numbers not improved still % balance stated wayne county michigan canvassers widespread irregularities poll_numbers votes people two harassed patriot canvassers refuse sign papers,-1
data group exposes widespread mail_ballot fraud,-1
bright star pennsylvania military_vets low_taxes nd_amendment totally protected opponent weak_ineffective puppet pelosi new radical_left friends vote sean parnell,1
obama spied_campaign got_caught,0
important vote republicans house break away pelosi high taxing new radical_left friends protect nd_amendment military_vets sooo_much,1
pa dead voters actually dwarfed number ghost voters nationwide not dearly departed reanimated,-1
people not accept rigged_election,-1
great american_patriots voted america first make_america great giant voice long future not disrespected treated_unfairly way shape form,1
no election total_scam lot ( hopefully turn fraudulent result ) must get help david kelly two great people otherwise playing right hands sick people georgia saturday,-1
pennsylvania ballot mistakes made opinion purpose democrat governor puts republicans particular great risk corrupt politics pennsylvania must investigated immediately way philadelphia control,1
asked not going inauguration january_th,0
texas lt gov dan patrick offers $_million reward evidence voter_fraud,-1
says,0
reversed ridiculous decision cancel wreaths across america arlington national cemetery go,-1
practiced law almost decades member state bar texas ’ never known fellow tx lawyer,-1
recent statement chris krebs security election highly inaccurate massive improprieties fraud including dead people voting poll_watchers not_allowed polling locations glitches voting_machines changed,-1
yesterday ’ news_conference broadcast full enjoy,1
great maga gras rally today wonderful long island cut_taxes stop crime vote trump city state mess lose ? thank,-1
congratulations dogged pursuit chairman homeland political corruption,1
president ’ pursuit voter_fraud not essential determine outcome election,-1
important news_conference today lawyers clear viable path victory pieces nicely falling place rnc,1
headline six months_ago may trump right media experts wrong,-1
’ stand president stood ’ reason ’ going senate_majority,0
newly rebuilt_military,0
thank new_hampshire,1
amazing,1
big victory moments ago state nevada democrat county commissioner race ballot president thrown large_scale voter discrepancy clark county officials not confidence election security major impact,-1
would ’ nt let republican poll_watchers counting rooms unconstitutional,0
wrong first voted_against far votes people ( sad ) threatened screamed viciously harassed forced change vote refused american_patriots sign documents % mess ’ harass,-1
thing secure election virtually impenetrable foreign powers trump administration takes great credit unfortunately radical_left democrats dominion others perhaps successful,1
votes trump biden late voting many therefore effective immediately chris krebs terminated director cybersecurity infrastructure security agency,1
dead people voted,-1
much truth,1
joe_biden south texas border counties — barely latinos mostly lifelong democrats moved president trump record,0
well ’ really quite simple ’ votes people,1
votes people least,0
flip michigan back trump detroit not surprisingly tremendous problems,1
presenting pages sworn affidavits raising allegations fraud wayne county michigan voting wayn,-1
president nailed biden year career failure accomplish much biden,-1
carney joe_biden ‘ energy plan would eviscerate wisconsin sand miners via wisconsin would badly hurt biden would definitely end fracking no sand mine usage,-1
breaking_news iran ’ top nuclear scientist fatally shot northern iran state media reported seen force,-1
🤔,0
big_tech fake_news media partnered suppress freedom press gone thing past ’ refuse report real facts figures election even ’ hunter,-1
president next stop maine historic partnerships private_sector state federal_government,-1
nate simington smart qualified individual senate hearing today republicans hopefully,1
president giving great new supreme_court justice monday,1
rate rejected mail_ballots ’ lower pennsylvania year kept poll_watchers observers sacred vote counting rooms,-1
georgia ’ let_us look important signature match without recount meaningless open unconstitutional consent decree,1
לאחר הכחשות ממשלת אירן מודה רשמית כי פחירזאדה בכיר מדעני תכנית הגרעין שלה חוסל ליד טהרן בהודעה רשמית משמרות המהפכה מספיד,0
president second_term pass another historic middle_class tax_cut,-1
republicans ’ let andrew_mccabe continue get_away totally criminal activity never,-1
wow governor kemp hopefully see light late must finally take charge two great senators much georgia truly love usa must win battle two incompetents ’_clue,1
european countries sadly getting clobbered china_virus fake_news not like reporting,-1
trump announces groundbreaking rules lower prescription_drug prices via,-1
mohsen fakhrizadeh assassinated damavand east tehran according reports iran head iran ’,0
highly_respected ken_starr pennsylvania ’ three day extension mail_ballot deadline constitutional tra,1
true much_different reported media show massive unprecedented fraud,-1
biden enter white_house president prove ridiculous votes not fraudulently illegally obtained see happened detroit atlanta philadelphia milwaukee massive voter_fraud ’ got big unsolvable problem,-1
win,1
massive voter_fraud shown,-1
president biden make deal china ’ taken money ? son walked,0
president media asks biden questions ice cream ’ ask questions like,1
fake pollsters produced possibly illegal suppression poll election showing points wisconsin fact election_day race even preparing win state many deplorable instances,-1
son donald well thank,1
trump says coronavirus vaccine deliveries start next_week,0
thank maine,1
republican control senate thing stands way nancy_pelosi ’ radical leftist agenda fro,0
biden poorly big cities ( politico ) except detroit ( votes people ) philadelphia atlanta milwaukee win not surprisingly located important swing_states long known politically corrupt,1
thank rabbis,1
richard hopkins pennsylvania postal worker recants ballot tampering claim washington times stays truth original story,1
guy named al schmidt philadelphia commissioner called republican ( rino ) used big time fake_news media explain honest things respect election philadelphia refuses look mountain corruption dishonesty win,1
must something right radical liberal politicians media pundits america calling,0
posted department state dashboard since deleted,0
congratulations armenian prime_minister nikol pashinyan azerbaijani president ilham aliyev agreed adhere cease fire effective midnight many_lives saved proud team steve biegun getting deal done,1
agree,1
restaurant business absolutely decimated congress step help time essence,1
hello north_carolina tar heel state needs get_vote four_years president,0
reports voting_machines switching romney votes obama pay close attention machines donnot_let,-1
michigan watch democrat state rep elect abraham aiyash threatens children wayne county board canvassers,-1
rudy_giuliani greg kelly reports,0
great people vote trump,1
big voter_fraud information coming concerning georgia stay_tuned,-1
biden dumped new_hampshire dem primaries left early first big victory,-1
check ’ new show tonight good_luck darrell,1
votes created thin air pennsylvania lot perhaps anyone ever know pennsylvania votes rigged swing_states also world watching,-1
honor maine,1
maine record stop greeted people ’ sleepy jo,-1
thanks recognizing mine fight protect integrity election congress,1
much credit brave_men women state houses defending great constitution thank,1
past presidents relied mostly top policy tools president worked_hard job creati,1
looking ballots country come ?,0
new information dead people voting general election ’ investigate tonight_et,-1
alan_dershowitz trump ‘ absolutely right ‘ pardon michael_flynn via,1
suburban women strong president trump watch clip,1
win,1
check ’ new show tonight good_luck darrell,1
always truly worth defending,1
texas pennsylvania ohio others please watch party joe stop fracking immediately millions jobs lost energy prices soar vote trump,1
watch hundreds activists gather ‘ stop steal ‘ rally georgia via breitbartnews big rallies country proof pouring undeniable many votes needed landslide,-1
daytime virtually unwatchable especially weekends watch almost anything_else ’ suffer endless interviews democrats even_worse,-1
go,0
everyone asking recent presidential polls inaccurate came fake like much lamestream_media,-1
senator delivers mississippi helped us cut_taxes secure_border defend seco,1
pleased_announce given full support endorsement ronna mcdaniel continue heading republican national_committee ( rnc ) million votes received votes sitting president history win,1
president trump done many great things ( biggest_tax regulation_cuts history space_force rebuilding_military fixing wall ) perhaps important exposing massive corruption electoral process,1
wisconsin recount not finding mistakes count finding people voted illegally case brought recount monday tuesday found many illegal votes stay_tuned,-1
joe_biden total_disaster handling h_n swine_flu would never produced vaccine record time ( years ahead_schedule ) would terrible job vaccine delivery ’ everybody already know,-1
specific allegations made massive proof pennsylvania case people ’ want see want nothing saving country sad,1
numbers speak pres trump provided health_care savings seniors az — premiums ⬇ ️ % ⬆ ️ %,1
love senior citizens devoted life country devoting life —,1
president seniors long president no one lay hand medicare soc,1
american seniors first line safe effective coronavirus vaccine approved,1
announced finalized partnership deliver coronavirus vaccine app,0
hunter_biden offered $_million annually chinese energy firm ‘ introductions alone ’ email shows,1
dozens trump supporters loudly chanting mix four_years trump usa throughout event gr,1
biden like china stealing intellectual_property steals every one trump strong talking,1
comment,0
number ballots campaign challenging pennsylvania case far larger vote margin ’ not even_close fraud illegality big part case documents completed appeal,1
nobody wants report pennsylvania michigan ’ allow poll_watchers vote observers watch observe responsible hundreds_thousands votes not_allowed count therefore easily win states report news,1
fake_news not talking fact covid running wild world not virtual meeting early morning biggest subject covid healing fast especially vaccines,-1
bring forward number candidates consider begins #,1
sleepy_joe biden bad showing last_night despite_fact ’ ask questions corrupt_politician big_tech lamestream_media working_hard hide corruption,-1
thank everyone gave book chance grateful book really help win next conversation htt,1
kusi thank journalistic integrity meet office could dispel outrageous conspiracy,-1
ammar puppet nancy_pelosi radical_left spells higher_taxes weak military vet support obliteration nd_amendment vote darrell issa,-1
darrell great complete_total endorsement never_let warrior,1
jason wrote new_book fantastic order make jason deserves,1
obamagate,0
$ heading new orleans funding happy support bus_service major fleet improvements great people louisiana help keep moving safely,1
know truth,1
fake_news always forgets mention far fewer people dying get covid advanced therapeutics gained knowledge great doctors_nurses front line workers,1
pennsylvania appeals court turns trump administrations request poll_watchers monitor satellite election offices terrible ? seeking fair vote count lead bad_things bad intentions much ? ? ? disgraceful,-1
legal votes,1
media corrupt election,0
interview enjoy,1
’ see way nancy_pelosi cryin_’ chuck_schumer willing right great american_workers wonderful usa stimulus primary focus bailing poorly run ( high_crime ) democrat cities states,1
terrific congressman illinois successful_businessman create_jobs lower_taxes defend law_order protect_second amendment radical_left jim complete_total endorsement,1
eric esshaki (_) tremendous_advocate michigan first chaldean congress help_us lower_taxes defend_second amendment deliver great healthcare eric complete_total endorsement,1
trump biden ’ press lids put lid lid like garbage,1
tonight_enjoy,1
tony stop wearing washington nationals ’ mask two reasons number_one not high standards exposing number two keeps reminding tony threw perhaps worst first pitch history baseball,-1
dr tony fauci says ’ allow television yet saw last_night seems get airtime anybody since late great bob hope ask tony make better decisions said no masks let china also bad arm,1
great news new government sudan making great progress agreed pay $_million terror victims_families deposited lift sudan state sponsors terrorism list long last justice american_people big step sudan,1
heading arizona see_soon,0
never enthusiasm spirit everyone great fun good country already winning many states not reported biden put lid raising money promises finally caught_cold knows laptop devastating,1
never time either two campaigns felt stronger chance winning right early_voting reports look far stronger originally anticipated every rally boffo team fantastic_job,1
courage done maintain integrity elections united_states america world watching,1
joe_biden quickly forming cabinet investigators found hundreds_thousands fraudulent votes enough flip least four states turn enough win election ? hopefully courts legislatures,1
last_week joe_biden made perhaps shocking admission ever uttered history presidential debates live television joe_biden confirmed plan abolish entire oil industry — means no fracking no jobs no energy pennsylvania families,-1
second georgia county finds thousands votes majority trump,0
rate rejected mail_ballots ’ lower pennsylvania year,-1
career politician president united_states go head head round two fight oval_office,1
new senate_majority leader mitch_mcconnell says senate vote confirm judge_amy coney_barrett scotus,0
new senate vote confirm amy_coney barrett monday october,0
sworn affidavit election worker clark county nevada claims mail_ballots improperly filled bi,0
happening usa no_wonder california never play republicans rigged_election,-1
vote trump save second_amendment virginia,1
wsj editorial_board joe_biden must answer_questions hunter_biden china via joe_biden totally_corrupt politician got_caught least ’ able raise_taxes biggest increase history,1
biden sought ‘ grand bargain ’ reduce deficit cuts social_security via joe_biden pushed hard cut social_security elected ’ never,1
wow crazy_nancy ’ going ? big stuff,1
thank pennsylvania,1
interviewed_enjoy,1
thank tucson arizona together going make_america great,1
heading tucson see little winning arizona,1
nerve gov cuomo trying capitalize covid killed ’ nursing_homes ? ?,-1
stop democrats stealing votes president putting colorado water risk ’ fifteen days,-1
thank arizona together going make_america great,1
arriving prescott crowd love arizona,1
fauci ’ pitch metaphor wrong bigger metaphor loudly,-1
wow michigan refused certify election results courage beautiful thing usa stands proud,1
oregon jailed many people thanksgiving want riot loot portla,-1
not frivolous brought behalf one respected members united_states congress disgusted like many_others election fraudulent mess fake ballots dead people voting no republican poll_watchers allowed,-1
fox_news finally acknowledged eight days election fox_news decision desk incorrectly projected democra,0
maine medicare health plan premiums % president,0
president bringing drug_prices way,0
perfect strike american_people,1
president trumparizona,0
washington wants nothing ’ bad new_york become ghost town andrew spends much time listening brother fredo forget books apology tour federal_government would love help new_york regain luster,1
governor_cuomo shown tremendously poor leadership skills running bad time writing promoting book especially_since done poor job covid crime many unnecessary deaths city state sunk historic lows,-1
liberal_media says voter_fraud doesnnot happen lying someone used identities dead people vote,-1
multiple pro trump demonstrations planned cincinnati area via,0
pennsylvania trump voters show passion ‘ ‘ man wants america ‘ via,1
congressman darin lahood (_) fighter illinois strong supporter_agenda helping us drain_swamp deliver farmers defend_second amendment darin complete_total endorsement,1
congressman ken buck (_) champion incredible people colorado strong law_order low_taxes border_security military_vets always defend_second amendment ken complete_total endorsement,1
senator delivers mississippi helped us cut_taxes secure_border defend_second amendment cindy opponent mike espy corrupt_politician raise_taxes open_borders vote cindy,1
everyone compare terrible electoral intrusion recent interviews sleepy_joe biden,-1
polls totally fake like leading states mentioned soon see thought fox getting rid pollster sadly never_happened,-1
around vote president trump wins national championships thank florida state giving us bobby bowden,1
great bobby bowden one best coaches ever college football full recovery covid america greatest country side heaven ’ chance get lot wins life really wanted win one wanted,1
virginia,0
big things_happening various litigations election hoax everybody_knows rigged know biden ’ get votes black_community obama certainly ’ get votes look happened detroit philadelphia plus,-1
great_honor,1
tonight watch president remarks gastonia north_carolina et rsvp,0
exclusive forgotten obama biden auto bailout delphi workers refuse forget taken ( part one ) via biden disaster talk_no action remember vote,-1
well hundreds_thousands votes cast republican poll_watchers not_allowed watch not even allowed counting rooms likewise fake ballots cast dead people voting,-1
help stop voter suppression irregularities fraud tell us seeing report case,-1
lesley stahl minutes not wearing mask white_house interview much come,0
trump predicts % growth q ‘ ‘ coming_back stronger ‘ via would biggest ever,1
pence voters know biden_harris ‘ going pack court ‘ via radical_left ’ let_happen vote,0
presidential promises_kept justice barrett fairly apply honor law decades via,1
carney joe_biden ‘ energy plan would eviscerate wisconsin sand miners via,1
new nrsc ad ' radical_left policies would hurt michiganders peters wins michigan loses,-1
fighting make_sure americans chance succeed black prison rates lowest,-1
apprentice champion check interesting new_book,1
quick stop north_carolina wonderful indian tribe guests two big rallies ohio wisconsin see later,1
trump biden works big_tech big media — keep scandals quiet via,-1
fighter elected reelect four_years best_yet com,1
big victory moments ago state nevada democrat county commissioner race ballot president,0
attempted alter election got_caught ?,0
never asked us comment ridiculous one_sided story election security international joke election poorly rated dominion country flooded unaccounted mail_ballots probably least secure ever,1
thank martinsburg pennsylvania,1
years joe_biden fought cut social_security medicare — fact joe falsely denied last_night,-1
voters allentown pa receiving blank ballots widespread received blank ballot ? email us photos,0
get well soon,1
sorry liz ’ accept results election hundreds_thousands fraudulent votes cast enough easily flip election ’ unhappy ’ bringing troops back_home belong,-1
joe_biden called george yesterday ’ remember name got help anchor get interview fake_news cartel working_overtime cover,-1
great news fake_news watching ?,1
made tremendous_progress china_virus fake_news refuses talk close election covid_covid covid used total coordination order change great early election numbers election law violation,1
exactly right future country line chip help make_sure,1
democrats take control senate want turn america socialist state future country,1
